Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",86.250000,-59.000000,0.000000,top
"C2","100n","C_0402_1005Metric",94.930000,-62.670000,-90.000000,top
"C3","100n","C_0402_1005Metric",91.530000,-71.480000,180.000000,top
"C4","100n","C_0402_1005Metric",82.600000,-61.880000,90.000000,top
"C5","10u","C_0603_1608Metric",86.250000,-57.000000,0.000000,top
"C6","10n","C_0402_1005Metric",82.590000,-66.180000,90.000000,top
"C7","1u","C_0402_1005Metric",81.980000,-70.500000,180.000000,top
"C8","1u","C_0402_1005Metric",82.020000,-72.000000,180.000000,top
"C9","100n","C_0402_1005Metric",87.000000,-72.500000,0.000000,top
"C10","22u","C_0805_2012Metric",103.500000,-74.450000,90.000000,top
"C11","22u","C_0805_2012Metric",98.000000,-68.500000,0.000000,top
"C14","10p","C_0402_1005Metric",80.510000,-64.150000,-90.000000,top
"C15","10p","C_0402_1005Metric",80.510000,-66.110000,-90.000000,top
"D1","LED","LED_0603_1608Metric",106.200000,-74.600000,-90.000000,top
"FB1","120R","L_0603_1608Metric",84.000000,-71.287500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",109.365000,-63.855000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",104.500000,-50.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",92.000000,-50.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",84.690000,-77.000000,90.000000,top
"R1","10k","R_0402_1005Metric",80.680000,-57.250000,90.000000,top
"R2","1K5","R_0402_1005Metric",97.120000,-63.260000,-90.000000,top
"R3","1k5","R_0402_1005Metric",106.000000,-71.500000,90.000000,top
"R4","1k5","R_0402_1005Metric",88.650000,-73.980000,180.000000,top
"R5","1k5","R_0402_1005Metric",91.000000,-74.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",76.000000,-57.000000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",88.750000,-65.162500,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",98.500000,-74.000000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",76.860000,-65.020000,-90.000000,top
